trip_id,arrival_time,departure_time,stop_id,stop_sequence
8,14:53:00,14:53:00,blue-12,12
8,14:56:00,14:56:00,blue-1,13
8,14:30:00,14:30:00,blue-1,1
8,14:33:00,14:33:00,blue-2,2
8,14:37:00,14:37:00,blue-3,3
8,14:40:00,14:40:00,blue-4,4
8,14:45:00,14:45:00,blue-5,5
8,14:55:00,14:55:00,blue-6,6
8,14:58:00,14:58:00,blue-7,7
8,15:00:00,15:00:00,blue-8,8
8,15:10:00,15:10:00,blue-9,9
8,15:15:00,15:15:00,blue-10,10
8,15:20:00,15:20:00,blue-11,11
8,15:23:00,15:23:00,blue-12,12
8,15:26:00,15:26:00,blue-1,13
8,15:00:00,15:00:00,blue-1,1
8,15:03:00,15:03:00,blue-2,2
8,15:07:00,15:07:00,blue-3,3
8,15:10:00,15:10:00,blue-4,4
8,15:15:00,15:15:00,blue-5,5
8,15:25:00,15:25:00,blue-6,6
8,15:28:00,15:28:00,blue-7,7
8,15:30:00,15:30:00,blue-8,8
8,15:40:00,15:40:00,blue-9,9
8,15:45:00,15:45:00,blue-10,10
8,15:50:00,15:50:00,blue-11,11
8,15:53:00,15:53:00,blue-12,12
8,15:56:00,15:56:00,blue-1,13
8,15:30:00,15:30:00,blue-1,1
8,15:33:00,15:33:00,blue-2,2
8,15:37:00,15:37:00,blue-3,3
8,15:40:00,15:40:00,blue-4,4
8,15:45:00,15:45:00,blue-5,5
8,15:55:00,15:55:00,blue-6,6
8,15:58:00,15:58:00,blue-7,7
8,16:00:00,16:00:00,blue-8,8
8,16:10:00,16:10:00,blue-9,9
8,16:15:00,16:15:00,blue-10,10
8,16:20:00,16:20:00,blue-11,11
8,16:23:00,16:23:00,blue-12,12
8,16:26:00,16:26:00,blue-1,13
8,16:00:00,16:00:00,blue-1,1
8,16:03:00,16:03:00,blue-2,2
8,16:07:00,16:07:00,blue-3,3
8,16:10:00,16:10:00,blue-4,4
8,16:15:00,16:15:00,blue-5,5
8,16:25:00,16:25:00,blue-6,6
8,16:28:00,16:28:00,blue-7,7
8,16:30:00,16:30:00,blue-8,8
8,16:40:00,16:40:00,blue-9,9
8,16:45:00,16:45:00,blue-10,10
8,16:50:00,16:50:00,blue-11,11
8,16:53:00,16:53:00,blue-12,12
8,16:56:00,16:56:00,blue-1,13
8,16:30:00,16:30:00,blue-1,1
8,16:33:00,16:33:00,blue-2,2
8,16:37:00,16:37:00,blue-3,3
8,16:40:00,16:40:00,blue-4,4
8,16:45:00,16:45:00,blue-5,5
8,16:55:00,16:55:00,blue-6,6
8,16:58:00,16:58:00,blue-7,7
8,17:00:00,17:00:00,blue-8,8
8,17:10:00,17:10:00,blue-9,9
8,17:15:00,17:15:00,blue-10,10
8,17:20:00,17:20:00,blue-11,11
8,17:23:00,17:23:00,blue-12,12
8,17:26:00,17:26:00,blue-1,13
8,17:00:00,17:00:00,blue-1,1
8,17:03:00,17:03:00,blue-2,2
8,17:07:00,17:07:00,blue-3,3
8,17:10:00,17:10:00,blue-4,4
8,17:15:00,17:15:00,blue-5,5
8,17:25:00,17:25:00,blue-6,6
8,17:28:00,17:28:00,blue-7,7
8,17:30:00,17:30:00,blue-8,8
8,17:40:00,17:40:00,blue-9,9
8,17:45:00,17:45:00,blue-10,10
8,17:50:00,17:50:00,blue-11,11
8,17:53:00,17:53:00,blue-12,12
8,17:56:00,17:56:00,blue-1,13
8,17:30:00,17:30:00,blue-1,1
8,17:33:00,17:33:00,blue-2,2
8,17:37:00,17:37:00,blue-3,3
8,17:40:00,17:40:00,blue-4,4
8,17:45:00,17:45:00,blue-5,5
8,17:55:00,17:55:00,blue-6,6
8,17:58:00,17:58:00,blue-7,7
8,18:00:00,18:00:00,blue-8,8
8,18:10:00,18:10:00,blue-9,9
8,18:15:00,18:15:00,blue-10,10
8,18:20:00,18:20:00,blue-11,11
8,18:23:00,18:23:00,blue-12,12
8,18:26:00,18:26:00,blue-1,13
8,18:00:00,18:00:00,blue-1,1
9,10:00:00,10:00:00,orange-1,1
9,10:05:00,10:05:00,orange-2,2
9,10:10:00,10:10:00,orange-3,3
9,10:15:00,10:15:00,orange-4,4
9,10:20:00,10:20:00,orange-5,5
9,10:25:00,10:25:00,orange-6,6
9,10:35:00,10:35:00,orange-7,7
9,10:40:00,10:40:00,orange-8,8
9,10:50:00,10:50:00,orange-9,9
9,10:55:00,10:55:00,orange-10,10
9,11:00:00,11:00:00,orange-1,1
9,11:05:00,11:05:00,orange-2,2
9,11:10:00,11:10:00,orange-3,3
9,11:15:00,11:15:00,orange-4,4
9,11:20:00,11:20:00,orange-5,5
